dd93e0255527a453fe00f929b3c327 293 879 100   	0.0229488 0.0696378 0.0280017   	0.0438064 0.269583 0.0669006   	0.0489493 0.21163 0.000581818
288830d611f801324d541a9e51e20f 293 879 100   	0.0230269 0.0711687 0.0301976   	0.0441015 0.269691 0.0668788   	0.0489663 0.212204 0.000580773
b03ab23077a518cc8e0bf595e4e275 293 879 100   	0.0227068 0.0706654 0.0285165   	0.0441742 0.272194 0.0674939   	0.0494163 0.214755 0.000585061
909bd41646194fef2dbe4cd0f8396a 366 1098 100   	0.0266522 0.0804697 0.0318341   	0.0492527 0.281679 0.070274   	0.049234 0.230018 0.000646029
09a27e8f9f707584db49763b481743 366 1098 100   	0.0266947 0.0804697 0.0318814   	0.0491891 0.281064 0.070215   	0.0493328 0.227832 0.000627014
6e3cdf38d3e6771710147b2f9b1dda 366 1098 100   	0.0284841 0.0859643 0.0340011   	0.0526541 0.30085 0.0749531   	0.0520184 0.218383 0.000639377
6605eee7684f7758cacbbaf7be7b06 366 1098 100   	0.0284941 0.0859606 0.0340038   	0.0526518 0.300872 0.0749377   	0.0522839 0.217174 0.000488087
062437764738dfe2eed7bc8d34bdb9 366 1098 100   	0.0287412 0.0867453 0.0343008   	0.0531352 0.303649 0.0756387   	0.052428 0.212839 0.000491768
43b8f7913aa37bb6e067c0dfaa6fcb 366 1098 100   	0.0287355 0.0867695 0.0342954   	0.0531467 0.303665 0.0756623   	0.0525035 0.225049 0.000492826
73c857f45f070321325c7ffc3fd50f 457 1371 100   	0.0282587 0.0745144 0.0336888   	0.0546056 0.250721 0.0732143   	0.0537049 0.188739 0.000674573
364d21b42d0e490892ac41691159b9 457 1371 100   	0.0282614 0.0752058 0.0335562   	0.0526922 0.247007 0.0788347   	0.0560027 0.191256 0.000677293
33789ebf9fd52497e91f85475951a5 457 1371 100   	0.0290571 0.0772346 0.0344095   	0.0536535 0.245653 0.0781364   	0.0554085 0.180461 0.000664867
8832acf538295888a7c7ab2b4ca153 457 1371 100   	0.0282682 0.0751886 0.0334309   	0.054889 0.256843 0.0781681   	0.0545482 0.181939 0.00067052
f7c37002ebaf65fdabc1f14b8f686e 457 1371 100   	0.0284067 0.0747395 0.0324726   	0.0546336 0.253243 0.0729499   	0.0556427 0.188735 0.000515947
4eaf93a262ca78909e4d756304ac4a 457 1371 100   	0.0282002 0.0769382 0.0346821   	0.0550993 0.259687 0.0788907   	0.0547757 0.18379 0.000515333
132989a69b90c153d840e1640d32b0 571 1713 100   	0.0352102 0.125613 0.0441788   	0.0679616 0.455795 0.0873589   	0.0656734 0.391535 0.000635607
40a4f0dd12243e7e5fc7dd8b87218e 571 1713 100   	0.0357889 0.124184 0.0444534   	0.0657236 0.467411 0.093644   	0.0669805 0.392553 0.00062082
d1333d64c67429568c24b504ae7387 571 1713 100   	0.0354995 0.119723 0.0433372   	0.066776 0.474385 0.0937575   	0.0668308 0.388924 0.000666918
c2ab40b05bbeb7f17335160a2b8b8a 571 1713 100   	0.0364388 0.122243 0.0420088   	0.0662638 0.47442 0.094663   	0.0667481 0.388889 0.000661246
5e1b3c476b3a559024251a0b4ec226 571 1713 100   	0.0365335 0.122987 0.0444641   	0.0671665 0.466141 0.0945672   	0.0669149 0.385663 0.000514689
f206d2ce415a22feb3e8d40f44f896 571 1713 100   	0.0363545 0.121652 0.0435701   	0.0671858 0.458786 0.087601   	0.0671733 0.396535 0.000516492
c09aa02d8864cd291be5a7a9875ffe 713 2139 100   	0.0382259 0.107989 0.0447974   	0.0687804 0.270436 0.0821009   	0.068334 0.215778 0.000656618
03dfcb68461b9216823126fbb68120 713 2139 100   	0.0383361 0.107931 0.0483611   	0.0699836 0.277641 0.0848933   	0.067062 0.216243 0.000575412
bd26407a7dd53d192237d4e46236a4 713 2139 100   	0.0377115 0.111107 0.0483322   	0.0704514 0.27852 0.0845018   	0.0679995 0.20404 0.000648706
46a2dfda388c9390901f1a7a2aa1e3 713 2139 100   	0.0374984 0.111784 0.0479175   	0.069714 0.265233 0.082402   	0.0690948 0.217788 0.000653691
